id_kursus,judul,link,link_gambar,penyelenggara,kategori,instruktor,level,rating,biaya,deskripsi,judul similiar
256,Fundamentos de laTecnología Blockchain,https://www.edx.org/learn/blockchain/pontificia-universidad-javeriana-fundamentos-de-la-tecnologia-blockchain,https://prod-discovery.edx-cdn.org/media/course/image/65f1baf3-b695-46d4-8909-5f04ae6ad0f7-20fa62e7ad2c.small.jpeg,Pontificia Universidad Javeriana,Economics & Finance,,Introductory,,,"Cryptocurrency, Business Modeling, Information Systems, Blockchain, Bitcoin","['Foundations of Finance', 'Foundations of MedicalSpanish', 'Foundations of Digital Marketing and E-commerce', 'Process Mining: Data Science in Action', 'Dasar-Dasar Pemasaran Digital']
"
257,Administración pública yfiscal: cómo se gestionaun gobierno,https://www.edx.org/learn/government/inter-american-development-bank-administracion-publica-y-fiscal-como-se-gestiona-un-gobierno,https://prod-discovery.edx-cdn.org/media/course/image/e4f36ec0-b44d-491c-af73-5963d5068242-8cb79ed772f0.small.jpg,Inter-American Development Bank,Economics & Finance,,Introductory,,,Public Administration,"['Behavioral Economics andPublic Policy', 'Public Speaking', 'Fundamentals of FinancialMathematics and CapitalBudgeting', 'Becoming an EffectiveLeader', 'Introduction toMathematics for Financeand Business']
"
258,Economics: ConsumerDemand,https://www.edx.org/learn/economics/babson-college-economics-consumer-demand,https://prod-discovery.edx-cdn.org/media/course/image/ab6ffdf5-70e5-4932-ba39-1c156647a367-d5a8f54eb580.small.jpg,Babson College,Economics & Finance,,Introductory,,,"Strategic Planning, Business Strategies, Economics","['Feature Extraction', 'Market Research & Objective', 'Principios de Economía', 'Hypothesis Testing', 'Principios de Economíaaplicados a Negocios']
"
259,Inclusive Growth: ClimateChange,https://www.edx.org/learn/climate-change/the-international-monetary-fund-inclusive-growth-climate-change,https://prod-discovery.edx-cdn.org/media/course/image/1bff7e6d-2dc5-4309-926c-0d407d409fb3-7b9e5dc084a8.small.png,The International Monetary Fund,Economics & Finance,,Intermediate,,,Policy Recommendations,"['Macroeconomics ofClimate Change: ClimateRisks for the Financial Se…', 'Macroeconomics ofClimate Change: Science,Economics, and Policies', 'Macroeconomics ofClimate Change: GreenPublic Finance', 'Climate Change: FinancialRisks and Opportunities', 'Macroeconomics ofClimate Change:Economics of Adaptation']
"
260,Macroeconomics ofClimate Change:Economics of Adaptation,https://www.edx.org/learn/macroeconomics/the-international-monetary-fund-macroeconomics-of-climate-change-economics-of-adaptation,https://prod-discovery.edx-cdn.org/media/course/image/3bbf258b-5c96-42eb-baba-a77b2afbce34-831ca887f73c.small.png,The International Monetary Fund,Economics & Finance,,Introductory,,,"Research, Economics, Climate Modeling, Capacity Development, Resilience, Macroeconomics","['Macroeconomics ofClimate Change: ClimateRisks for the Financial Se…', 'Macroeconomics ofClimate Change: Science,Economics, and Policies', 'Macroeconomics ofClimate Change: GreenPublic Finance', 'Inclusive Growth: ClimateChange', 'Principios de Economía']
"
261,Fundamentals of FinancialMathematics and CapitalBudgeting,https://www.edx.org/learn/finance/new-york-institute-of-finance-fundamentals-of-financial-mathematics-and-capital-budgeting,https://prod-discovery.edx-cdn.org/media/course/image/669905cf-e1eb-4a36-8d95-f6b6cfea1b2f-e412f02e016a.small.jpeg,New York Institute of Finance,Economics & Finance,,Introductory,,,"Capital Budgeting, Net Present Value, Finance, Financial Market, Mathematical Finance, Conceptual Framework, Calculations, Rate Of Return, Time Value Of Money, Annuities, Corporate Finance, Cash Flows","['Fundamentos deinformación financiera ycontable', 'Financial accounting andcapital markets', 'Introduction toMathematics for Financeand Business', 'Dasar-Dasar Keuangan', 'Finanzas e inversionespara no financieros']
"
262,Algoritmos yProgramación en R,https://www.edx.org/learn/r-programming/tecnologico-de-monterrey-algoritmos-y-programacion-en-r,https://prod-discovery.edx-cdn.org/media/course/image/b3484463-a87a-42dd-bef8-c3b8fbdd3965-2683270fc129.small.jpeg,Tecnológico de Monterrey,Economics & Finance,,Advanced,,,"RStudio, Management, R (Programming Language), Data Structures, Algorithms, Programming Concepts, Data Management","['Data Science, Machine Learning, Data Analysis, Python & R', 'Data Science Projects - Data Analysis & Machine Learning', 'UCI Data Preprocessing and Exploratory Data Analysis', 'Basics of Numpy for Data Analysis & Data Science', 'Basics of Plotly for Data Analysis & Data Science']
"
263,Balance of Payments andInternational InvestmentPosition Statistics,https://www.edx.org/learn/international-business/the-international-monetary-fund-balance-of-payments-and-international-investment-position-statistics,https://prod-discovery.edx-cdn.org/media/course/image/0f87652c-efda-4b39-b045-5c5e5a7b6138-aa12a5b8372c.small.jpeg,The International Monetary Fund,Economics & Finance,,Intermediate,,,"Accounting, Direct Investments, Integration, Foreign Direct Investments","['Climate Change: FinancialRisks and Opportunities', 'Financial accounting andcapital markets', 'Fundamentals of FinancialMathematics and CapitalBudgeting', 'Finanzas e inversionespara no financieros', 'Analisis Bisnis untuk Pemula : Metode Statistik']
"
264,InterculturalCommunication at Work –Land the job and do it well,https://www.edx.org/learn/business-communications/the-national-university-of-singapore-intercultural-communication-at-work-land-the-job-and-do-it-well,https://prod-discovery.edx-cdn.org/media/course/image/ef87f574-3c2d-406b-9c76-b5865e7220a0-a72c40795f74.small.jpeg,The National University of Singap…,Communication,,Intermediate,,,"Writing, Presentations, Intercultural Communication, Emotional Intelligence, Personal Branding, Teamwork, Conflict Management, Negotiation, Cultural Sensitivity, Relationship Building, Management, Resilience","['Storytelling in theWorkplace', 'Soft Skills: CollaborateEffectively', 'Comunicación yRedacción Digital', 'Teamwork & Collaboration', 'Using Email forNetworking in English']
"
265,Storytelling in theWorkplace,https://www.edx.org/learn/storytelling/rochester-institute-of-technology-storytelling-in-the-workplace,https://prod-discovery.edx-cdn.org/media/course/image/c5e876c0-0a8e-4191-ba43-6c4e6d7a5d35-09dcecf754e5.small.jpeg,Rochester Institute of Technology,Communication,,Introductory,,,"Target Audience, Writing, Communications","['Storytelling for SocialChange', 'The Craft of Storytelling', 'Business WritingTechniques', 'Teamwork & Collaboration', 'InterculturalCommunication at Work –Land the job and do it well']
"
